Student,Homework 1 (English version),Homework 1 (Estonian version),Homework 2 (English version),Homework 2 (Estonian version),Homework 3 (English version),Homework 3 (Estonian version),Homework 4 (English version),Homework 4 (Estonian version),Homework 5 (English version),Homework 5 (Estonian version),Homework 6 (English version),Homework 6 (Estonian version),Homework 7 (English version),Homework 7 (Estonian version),Homework 8 (English version),Homework 8 (Estonian version),Homework 9 (English version),Homework 9 (Estonian version),Homework 10 (English version),Homework 10 (Estonian version),Homework 11 (English version),Homework 11 (Estonian version),Homework 12 (English version),Homework 12 (Estonian version),Midterm exam (English version),Midterm exam (Estonian version),Midterm exam retake (English version),Midterm exam retake (Estonian version),Midterm exam retake 2 (English version),Midterm exam retake 2 (Estonian version),First final exam (English version),First final exam (Estonian version),Second final exam (English version),Second final exam (Estonian version),Final exam retake (English version),Final exam retake (Estonian version),Total,Grade
A068,-,100.0,-,42.0,-,80.0,-,87.5,-,89.0,-,80.0,0.0,64.0,-,55.0,-,0.0,-,-,60.0,47.0,-,0.0,-,69,-,-,-,-,-,75,-,-,-,-,68.56,D
A069,30.0,-,62.0,-,20.0,-,67.0,-,35.0,-,44.0,-,25.0,-,-,-,0.0,-,0.0,-,-,-,-,-,52,-,-,-,-,-,-,-,62,-,-,-,50.32,E
A070,-,50.0,-,80.0,-,40.0,-,79.5,-,25.0,-,12.0,-,55.0,0.0,5.0,-,15.0,55.0,-,-,46.0,-,98.0,-,46,-,-,-,-,-,56,-,-,-,-,50.14,E
A071,-,110.0,-,110.0,80.0,0.0,-,97.5,77.0,-,98.0,0.0,92.0,0.0,42.0,-,35.0,-,100.0,-,47.0,-,0.0,-,90,-,-,-,-,-,-,-,92,-,-,-,87.61,B
A072,-,50.0,0.0,50.0,0.0,90.0,-,82.5,-,81.0,-,95.0,-,34.0,0.0,35.0,60.0,0.0,0.0,-,0.0,46.5,20.0,0.0,-,91,-,-,-,-,-,33,-,-,-,-,60.33,D
A073,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-
A074,0.0,80.0,-,0.0,0.0,60.0,0.0,65.0,-,0.0,-,24.0,-,0.0,-,0.0,-,0.0,0.0,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.82,-
A075,-,110.0,-,107.0,-,80.0,-,105.0,101.0,-,-,27.0,0.0,59.0,-,58.0,-,83.0,-,43.0,-,65.0,-,-,-,66,-,-,-,-,-,-,-,42,-,-,57.17,E
A076,-,100.0,-,-,-,-,-,82.5,-,-,12.0,34.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.61,-
A077,110.0,-,97.0,-,70.0,-,65.0,-,94.0,-,88.0,-,65.0,-,70.0,-,100.0,0.0,70.0,-,77.5,-,80.0,-,92,-,-,-,-,-,93,-,-,-,-,-,90.44,A
A078,-,100.0,-,30.0,-,80.0,-,-,-,-,-,0.0,-,0.0,-,0.0,-,-,0.0,0.0,-,-,-,-,-,-,-,58,-,-,-,10,-,-,-,90,62.7,D
A079,110.0,0.0,-,0.0,-,80.0,-,52.5,-,-,0.0,74.0,-,0.0,0.0,0.0,0.0,17.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.56,-
A080,100.0,-,106.0,-,100.0,-,110.0,-,95.0,-,98.0,-,90.0,-,56.0,-,110.0,-,102.0,-,85.5,-,105.0,-,106,-,-,-,-,-,-,-,110,-,-,-,105.69,A
A081,-,80.0,-,0.0,-,70.0,-,0.0,-,0.0,-,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,-
A082,-,100.0,-,110.0,-,110.0,-,100.0,-,100.0,-,86.0,-,68.0,-,77.0,-,74.0,-,35.0,-,91.0,-,0.0,-,93,-,-,-,-,-,-,-,55,-,-,75.05,C
A083,-,100.0,-,50.0,-,80.0,-,87.5,-,85.0,-,39.0,-,42.0,0.0,33.0,65.0,-,-,0.0,-,40.0,-,20.0,-,68,-,-,-,-,-,79,-,-,-,-,69.49,D
A084,-,110.0,-,97.0,-,40.0,-,110.0,-,103.0,-,29.0,-,59.0,-,28.0,-,69.0,-,5.0,-,72.5,-,21.0,-,73,-,-,-,-,-,-,-,57,-,-,64.39,D
A085,100.0,-,100.0,-,90.0,-,87.5,-,30.0,-,24.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,-,-,-,32,-,41,41.59,F
A086,110.0,-,106.0,-,90.0,-,100.0,-,74.0,-,76.0,-,33.0,-,30.0,-,-,-,-,-,-,-,-,-,92,-,-,-,-,-,16,-,-,-,-,-,53.52,E
